Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
"S 4208, 4208",Jerry Goldsmith,Patton (Original Motion Picture Score),"20th Century Fox Records, 20th Century Fox Records","LP, Album",,1970,29799220,Record Collection #100,2025-07-28 11:17:56,,,A
T-414,Love Unlimited,Under The Influence Of Love Unlimited,20th Century Records,"LP, Album, P/Mixed, Ter",,1973,580795,Record Collection #111,2026-01-25 18:22:01,,,
T-433,Love Unlimited Orchestra,Rhapsody In White,20th Century Records,"LP, Album",,1974,21270940,Individual Find,2026-03-23 07:07:24,,,
4S-SP-106,Various,Made In Tennessee,4 Star Records,"LP, Comp",,1977,4454379,Record Collection #97,2025-06-24 12:37:49,,,A
SE 1024,Carpenters,Yesterday Once More,A&M Records,"2xLP, Comp, Mon",,1984,3110567,Record Collection #106,2025-10-24 14:32:37,,,
SP 5199,Amy Grant,Lead Me On,A&M Records,"LP, Album",,1988,2096172,Record Collection #111,2026-01-23 14:42:02,7,,A
SP-3708,Supertramp,Breakfast In America,A&M Records,"LP, Album, Mon",,1979,4450663,Record Collection #116,2026-03-11 11:51:35,,,
SP-4249,Lee Michaels,Barrel,A&M Records,"LP, Album",,1970,1226289,Record Collection #98,2026-04-01 22:36:08,,,A
SP-4527,Joan Baez,Diamonds & Rust,A&M Records,"LP, Album, Pit",,1975,7586003,Record Collection #117,2026-04-02 15:04:18,5,,A
SP-4575,Pablo Cruise,Lifeline,A&M Records,"LP, Album, Pit",,1976,3874309,Record Collection #106,2025-10-24 14:29:06,,,A
SP-4836,Rita Coolidge,Greatest Hits,A&M Records,"LP, Comp, San",,1980,1768031,Record Collection #111,2026-03-31 07:37:41,,,A
SP-4896,Jeffrey Osborne,Jeffrey Osborne,A&M Records,"LP, Album, R, ",,1982,1545418,Record Collection #89,2025-05-07 07:34:34,,,
SP-4906,Joe Jackson,Night And Day,A&M Records,"LP, Album, EMW",,1982,477274,Record Collection #111,2026-01-30 08:12:48,,,
"SP 3501, SP-3501",Burt Bacharach,Burt Bacharach,"A&M Records, A&M Records","LP, Album, Gat",,1971,8706833,Record Collection #111,2026-01-23 18:36:53,,,A
"SP 4131, 131",Burt Bacharach,Reach Out,"A&M Records, A&M Records","LP, Album, Pit",,1967,8230505,Record Collection #111,2026-01-25 10:48:46,,,A
"SP 4769, SP-4769",1994:,Please Stand By...,"A&M Records, A&M Records","LP, Album",,1979,4171605,Record Collection #93,2025-05-20 11:42:27,,,A
"SP-3001, SP 3001",Wes Montgomery,A Day In The Life,"A&M Records, A&M Records","LP, Album, Gat",,1967,6467024,Uncategorized,2026-04-02 13:38:37,7,,A
"SP-4294, SP 4294",Procol Harum,Broken Barricades,"A&M Records, A&M Records","LP, Album, Ter",,1971,6793124,Record Collection #96,2025-06-20 08:42:23,7,,A
"SP-4343, SP 4343",The Flying Burrito Bros,The Last Of The Red Hot Burritos,"A&M Records, A&M Records","LP, Album, Mon",,1972,1361073,Record Collection #111,2026-01-25 09:37:09,,,
"SP-4361, SP 4361",Rick Wakeman,The Six Wives Of Henry VIII,"A&M Records, A&M Records","LP, Album, Ter",,1973,461547,Record Collection #113,2026-02-02 18:58:35,,,
"SP-4616, SP 4616",Rita Coolidge,Anytime... Anywhere,"A&M Records, A&M Records","LP, Album, Pit",,1977,944333,Record Collection #111,2026-01-30 08:35:44,,,A
"SP-4697, SP 4697",Pablo Cruise,Worlds Away,"A&M Records, A&M Records","LP, Album",,1978,13692048,Record Collection #98,2025-07-08 12:07:00,,,A
DO-2098,Barbara Mandrell,Love's Ups And Downs,ABC Dot,"LP, Album, San",,1977,3092535,Record Collection #109,2026-01-19 09:44:54,,,A
DOSD-2029,Donna Fargo,Whatever I Say Means I Love You,ABC Dot,"LP, Album, Ter",,1975,2259714,Record Collection #105,2025-09-22 06:57:01,,,A
DOSD-2061,Freddy Fender (2),If You're Ever In Texas,ABC Dot,"LP, Album, San",,1976,1441811,Record Collection #111,2026-01-25 10:15:08,,,
DOSD-2063,Billy 'Crash' Craddock,Crash,ABC Dot,"LP, Album, Pit",,1976,8707423,Record Collection #109,2026-01-19 09:21:32,,,A
DOSD-2065,Narvel Felts,Doin' What I Feel,ABC DOT,"LP, Album",,1976,5030513,Record Collection #109,2026-01-19 10:07:22,,,A
AA 1017,Levon Helm And The RCO All-Stars,Levon Helm And The RCO All-Stars,ABC Records,"LP, Album, Ter",,1977,4057457,Record Collection #108,2026-01-06 07:19:29,10,,A
AA-1068,John Klemmer,Arabesque,ABC Records,"LP, Album, San",,1978,1185146,Record Collection #116,2026-03-13 06:48:02,,,A
AB-850,Billy 'Crash' Craddock,Greatest Hits - Volume One,ABC Records,"LP, Comp",,1974,18700087,Record Collection #111,2026-01-30 08:38:01,,,A
ABCD-851,Bobby Vinton,Melodies Of Love,ABC Records,"LP, Album, Club, Ind",,1974,8841194,Record Collection #111,2026-01-28 22:01:46,,,A
ABCD-891,Bobby Vinton,Heart Of Hearts,ABC Records,"LP, Album",,1975,9044741,Record Collection #111,2026-01-30 07:47:25,,,A
ABCD-957,Bobby Vinton,Serenades Of Love,ABC Records,"LP, Album, Ter",,1976,5319301,Record Collection #111,2026-01-23 19:26:04,,,A
AY-1088,Barbara Mandrell,Moods,ABC Records,"LP, Album, Club, San",,1978,3250659,Record Collection #106,2025-10-24 14:25:51,,,
AH-44001,Don Gibson,I'm All Wrapped Up In You,"ABC Records, Hickory Records",LP,,1976,2354773,Record Collection #109,2026-01-19 08:05:41,,,A
P 12474,Various,Sounds Of Christmas,"Amway, Columbia Special Products","LP, Comp",,1974,6007250,Record Collection #111,2026-01-23 15:34:21,,,A
740319,The Friends (3),Songs That Mom And Dad Taught Us,Area Wide Crusades,"LP, Album",,1974,3336173,Record Collection #111,2026-01-25 09:16:54,10,,A
"LP-755, 755",The Ramsey Lewis Trio,Choice!: The Best Of The Ramsey Lewis Trio,"Argo (6), Argo (6)","LP, Comp, Mono",,1965,19953865,Record Collection #89,2025-05-06 07:42:19,,,
"SW-50039, SW 50039",Chanson,Chanson,"Ariola Records America, Ariola Records America","LP, Album",,1978,1993990,Record Collection #98,2026-04-01 22:17:16,,,
AB 4230,Dionne Warwick,Dionne,Arista,"LP, Album, Pit",,1979,3812571,Record Collection #106,2025-10-24 14:33:57,,,A
AB 4230,Dionne Warwick,Dionne,Arista,"LP, Album, Pit",,1979,3812571,Record Collection #111,2026-01-23 17:47:01,,,A
AL 4037,The Brecker Brothers,The Brecker Bros.,Arista,"LP, Album",,1975,5401816,Record Collection #101,2025-08-05 10:30:12,,,
AL 4061,The Brecker Brothers,Back To Back,Arista,"LP, Album",,1976,1464641,Record Collection #101,2025-08-05 11:01:50,,,
AL 8300,Outlaws,Bring It Back Alive,Arista,"2xLP, Album, Club, CRC",,0,14607905,Record Collection #93,2025-05-20 13:45:58,,,A
AL 8586,Kris McKay,What Love Endures,Arista,LP,,1990,5376136,Record Collection #102,2025-08-11 17:44:56,,,A
AL 9507,Outlaws,In The Eye Of The Storm,Arista,"LP, Album, San",,1979,11437899,Record Collection #93,2025-05-20 13:30:36,,,
AL-8427,Kenny G (2),Duotones,Arista,"LP, Album, Hau",,1986,5271038,Record Collection #106,2025-10-24 15:14:15,5,,A
AL-8457,Kenny G (2),Silhouette,Arista,"LP, Album, All",,1988,12652063,Record Collection #105,2025-09-26 14:00:03,5,,A
"AL 4042, 4042",Outlaws,Outlaws,"Arista, Arista","LP, Album, Pet",,1975,1471425,Record Collection #117,2026-04-02 15:17:54,5,,A
"AL 8-8107, AL8-8107",Tom Browne,Rockin' Radio,"Arista, Arista","LP, Album, Ind",,1983,441632,Record Collection #89,2025-05-07 07:43:04,,,A
"AL8-8102, AL 8 8102",Barry Manilow,Greatest Hits Vol. II,"Arista, Arista","LP, Comp, Ind",,1983,2630130,Record Collection #106,2025-10-24 14:28:27,,,
"AL8-8262, AL 8-8262",Dionne Warwick,Finder Of Lost Loves,"Arista, Arista","LP, Album, Club, CRC",,1985,9834846,Record Collection #97,2025-06-24 11:10:46,,,A
AM-297,The Atom Age,Hot Shame,Asian Man Records,"LP, Album, Bla",,2015,10134427,Record Collection #117,2026-04-02 15:00:08,20,,A
5E-511,Jackson Browne,Hold Out,Asylum Records,"LP, Album",,1980,1317466,Record Collection #98,2026-04-01 22:37:40,,,A
SD 32-107,Blackfoot (3),Marauder,ATCO Records,"LP, Album, SP ",,1981,2313394,Record Collection #103,2025-08-29 11:19:16,,,
SD 33-341,Delaney & Bonnie & Friends,To Bonnie From Delaney,ATCO Records,"LP, Album, PR,",,1970,1199165,Record Collection #108,2025-12-30 08:47:16,,,
SD 38-111,The Wonder Band,Stairway To Love,ATCO Records,"LP, Album",,1979,1438681,Record Collection #97,2025-06-24 15:45:43,,,A
"814 984-1 M-1, 422-814 984-1 M-1",Cameo,She's Strange,"Atlanta Artists, Atlanta Artists","LP, Album, 72 ",,1984,82457,Record Collection #89,2025-05-07 07:45:07,,,
45-2005,Chuck Willis,You'll Be My Love,Atlantic,"7"", Promo",,1958,5625072,Record Collection #104,2025-09-17 08:55:39,,,
80018-1,Frida,Something's Going On,Atlantic,"LP, Album, SP ",,1982,481975,Record Collection #105,2025-09-26 12:16:51,,,A
81273-1-E,Various,White Nights: Original Motion Picture Soundtrack,Atlantic,"LP, Album, SP ",,1985,1453798,Record Collection #113,2026-02-02 18:01:09,,,A
81728-1,Lou Gramm,Ready Or Not,Atlantic,"LP, Album, AR",,1987,11737945,Record Collection #93,2025-05-20 10:03:24,5,,A
ATC 9816,Laura Branigan,Branigan 2,Atlantic,"LP, Album",,1983,2397366,Record Collection #106,2025-10-17 14:50:07,,,A
SD 16010,Bette Midler,The Rose - The Original Soundtrack Recording,Atlantic,"LP, Album, MO ",,1979,5509868,Record Collection #111,2026-01-30 08:14:12,,,
SD 18174,Firefall,Firefall,Atlantic,"LP, Album, MO ",,1976,4142276,Record Collection #93,2025-05-20 13:14:20,,,A
SD 18174,Firefall,Firefall,Atlantic,"LP, Album, MO ",,1976,4142276,Record Collection #98,2025-07-09 10:31:26,,,
SD 18181,Spinners,Happiness Is Being With The Spinners,Atlantic,"LP, Album, PR",,1976,780637,Record Collection #89,2025-05-07 07:49:12,,,
SD 19325,Henry Paul Band,Anytime,Atlantic,"LP, Album, Spe",,1981,3062513,Record Collection #116,2026-03-10 07:59:45,5,,A
SD 7216,Roberta Flack & Donny Hathaway,Roberta Flack & Donny Hathaway,Atlantic,"LP, Album, MO ",,1972,3901585,Record Collection #117,2026-04-02 14:37:13,7,,A
SD 8148,The Young Rascals,Groovin',Atlantic,"LP, Album",,1967,7226032,Individual Find,2025-07-07 19:22:45,,,
SD 8172,Earl Coleman Featuring Billy Taylor,Love Songs,Atlantic,LP,,1968,3013652,Record Collection #113,2026-02-02 17:58:44,,,A
"558305-1, 0075678662720",Bruno Mars,XXIVK Magic,"Atlantic, Atlantic","LP, Album, Ltd, RE, Gol",,2022,22114357,Record Collection #112,2026-01-30 08:51:50,,,
"7 81239-1, 81239-1",The Firm (7),The Firm,"Atlantic, Atlantic","LP, Album, Spe",,1985,1372103,Record Collection #93,2025-05-20 14:20:46,,,
"SD 1429, ATLANTIC 1429",The Modern Jazz Quartet With Laurindo Almeida,Collaboration,"Atlantic, Atlantic","LP, Album, Mon",,1964,12238545,Record Collection #102,2025-08-11 12:46:19,,,
AVL6001,Liberace,Piano Gems,AVI Records,"LP, Album",,1976,13239816,Record Collection #106,2025-10-24 14:29:57,,,
"2865, BUS 2865","Pyotr Ilyich Tchaikovsky - Emil Gilels Piano,  Kiril Kondrashin Conducting The Leningrad Philharmonic Orchestra",Second Concerto In G Op. 44 For Piano & Orchestra,"Baroque Records (2), Baroque Records (2)",LP,,0,14281168,Record Collection #111,2026-01-23 14:50:41,,,
BRK 3561,Randy Vanwarmer,Beat Of Love,Bearsville,"LP, Album, Jac",,1981,813305,Record Collection #96,2026-04-01 22:02:14,,,
BELL 1315,The Fifth Dimension,Soul & Inspiration,Bell Records,"LP, Album",,1974,1926937,Uncategorized,2026-01-23 19:06:04,,,A
BELL 6064,The Partridge Family,The Partridge Family Sound Magazine,Bell Records,"LP, Album, Bes",,1971,1583857,Record Collection #98,2026-04-01 22:33:59,,,A
R 02463,Carman,Live/Radically Saved,Benson,"LP, Album",,1988,9916169,Record Collection #111,2026-01-23 15:23:33,10,,A
LPS512,The Goodtime Singers,Some of Our Own and Some of the Others,"Benson Sound, Inc.","LP, Album",,0,9846614,Record Collection #111,2026-02-06 19:10:20,,,A
860009588745,Morgan Wallen,If I Know Me,Big Loud Records,"LP, Album, Ltd, RE, Bla",,2023,27276714,Record Collection #112,2026-01-30 08:58:57,30,22.5,
45-3084,Scott Burton (2),Brushfire!,Bigtop,"7"", Promo",,1961,4375523,Record Collection #104,2025-10-03 13:29:15,,,
BWR-2003,Candle (3),"To The Chief Musician, Chapter II",Birdwing Records,"LP, Album",,1977,1842139,Record Collection #111,2026-01-23 15:26:08,,,A
BN-LA259-G,Lou Donaldson,Sweet Lou,Blue Note,"LP, Album",,1974,1053628,Record Collection #106,2025-10-24 14:51:34,,,
"BST-84364, BST 84364",Jimmy McGriff,Something To Listen To,"Blue Note, Blue Note","LP, Album",,1970,2452425,Record Collection #98,2026-04-01 22:16:21,,,
BTS 19,Dave Mason,Alone Together,Blue Thumb Records,"LP, Album",,1970,1339307,Record Collection #111,2026-02-06 08:54:55,5,,A
CO176M,Harve Presnell,Brigham!,Brigham Young University,"LP, Album",,1975,8569279,Record Collection #111,2026-01-23 14:25:25,,,
4050538957686,Jason Aldean,Highway Desperado,Broken Bow Records,"LP, Opa",,2023,28800667,Record Collection #112,2026-01-30 08:49:04,,,
BL 754122,Jackie Wilson,Whispers,Brunswick,"LP, Album",,1966,14347052,Uncategorized,2025-05-13 20:38:55,,,
B0027186-01,Jack Johnson,All The Light Above It Too,Brushfire Records,"LP, Album, Gat",,2017,10825008,Record Collection #117,2026-04-02 15:43:48,20,,A
BBS-1022,Ronnie Milsap,Love Will Never Pass Us By,Buckboard Records,"LP, Comp",,1975,22211248,Record Collection #111,2026-01-25 09:41:18,,,A
"BDS-5025, BDS 5025",George Burns,Sings,"Buddah Records, Buddah Records","LP, Album, Mon",,1969,3104899,Record Collection #97,2025-06-24 12:03:19,,,A
"LPS-774, Cadet 774",Ramsey Lewis,Wade In The Water,"Cadet, Cadet","LP, Album, Ter",,1966,2300031,Record Collection #111,2026-01-30 07:58:09,,,
CMC-1004,Agape Force,Potpourri,Candle Company Music,"LP, Album",,1974,2073899,Record Collection #111,2026-01-25 15:29:35,,,A
SKAO-391,Quicksilver Messenger Service,Shady Grove,Capitol Records,"LP, Album, Los",,1969,9471208,Record Collection #91,2025-05-13 21:14:19,,,
SM-332,The Sons Of Champlin,The Sons,Capitol Records,"LP, Album, RE, Los",,0,4845635,Individual Find,2025-08-25 06:18:52,10,,A
SMAS-2653,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Capitol Records,"LP, Album, RP, Los",,1969,3266605,Record Collection #117,2026-04-02 16:21:40,10,,A
SO-11948,The Knack (3),Get The Knack,Capitol Records,"LP, Album, Jac",,1979,676588,Record Collection #111,2026-01-23 13:28:32,,,
ST 11625,Norton Buffalo,Lovin' In The Valley Of The Moon,Capitol Records,"LP, Album, Win",,1977,8364935,Record Collection #113,2026-02-02 19:00:30,,,
ST 2082,Nancy Wilson,"Today, Tomorrow, Forever",Capitol Records,LP,,1964,2274267,Record Collection #111,2026-01-23 17:59:54,,,A
ST 2389,Wayne Newton,Summer Wind,Capitol Records,LP,,1965,1946874,Record Collection #109,2026-01-19 09:57:15,,,A
ST 2533,George Van Eps,My Guitar,Capitol Records,"LP, LA ",,1966,18965311,Individual Find,2025-12-12 08:45:49,,,
ST 2878,Glen Campbell,"Hey, Little One",Capitol Records,"LP, Album, Los",,1968,8101835,Record Collection #106,2025-10-17 14:36:03,,,A
ST-11196,Sonny James,Young Love,Capitol Records,"LP, Album, Comp, Mono",,1973,9776003,Record Collection #111,2026-01-25 09:44:44,,,A
ST-11345,La Costa,Get On My Love Train,Capitol Records,"LP, Album",,1974,5954110,Record Collection #98,2026-04-01 22:29:51,,,
ST-11743,Anne Murray,Let's Keep It That Way,Capitol Records,"LP, Album, Win",,1978,1561070,Record Collection #111,2026-01-28 21:54:13,,,A
ST-11861,Starz (2),Coliseum Rock,Capitol Records,"LP, Album, Win",,1978,1880840,Individual Find,2025-08-25 19:47:19,,,
ST-11927,Cheryl Ladd,Dance Forever,Capitol Records,"LP, Album",,1979,1132141,Record Collection #105,2025-09-24 08:48:50,,,A
ST-12323,Earl Klugh,Wishful Thinking,Capitol Records,"LP, Album, Jac",,1984,1512284,Record Collection #102,2025-08-11 13:27:42,,,A
ST-162,The Cannonball Adderley Quintet,In Person,Capitol Records,"LP, Album, Los",,1969,1570654,Uncategorized,2025-07-08 08:03:33,,,
ST-1961,The Howard Roberts Quartet,H.R. Is A Dirty Guitar Player,Capitol Records,"LP, Album",,1963,2217753,Individual Find,2025-12-12 09:04:18,10,,A
ST-2588,Wayne Newton,Songs For A Merry Christmas,Capitol Records,"LP, Album, Scr",,1966,11500046,Record Collection #109,2026-01-19 09:24:37,,,A
ST-638,Merle Haggard,"A Tribute To The Best Damn Fiddle Player In The World: Or, My Salute To Bob Wills",Capitol Records,"LP, Album, RE",,0,8056513,Record Collection #114,2026-03-03 08:48:20,7,,A
ST-661,Joy Of Cooking,Joy Of Cooking,Capitol Records,"LP, Album, Los",,1971,9765169,Record Collection #111,2026-01-23 18:13:04,5,,A
T-2311,The Nat King Cole Trio,Original Vocal And Instrumental Recordings Of The Easy Listenin' Favorites,Capitol Records,"LP, Mono, RE",,1965,6053516,Record Collection #111,2026-01-23 15:00:38,,,
WAO-990,Meredith Willson,The Music Man - Original Broadway Cast,Capitol Records,"LP, Album, Mono, Gat",,1958,4765706,Record Collection #106,2025-10-27 19:22:21,,,
"SMAS-829, SMAS 829",Seatrain,The Marblehead Messenger,"Capitol Records, Capitol Records","LP, Album, Los",,1971,2537497,Record Collection #100,2025-08-13 08:32:53,,,
"ST 2419, ST-2419",Laurindo Almeida And The San Fernando Guitars,New Broadway-Hollywood Hits,"Capitol Records, Capitol Records","LP, Album",,1965,3717089,Record Collection #98,2025-07-08 14:29:45,,,A
"ST 2928, ST-2928",Bobbie Gentry And Glen Campbell,Bobbie Gentry And Glen Campbell,"Capitol Records, Capitol Records","LP, Album, Los",,1968,13761988,Record Collection #106,2025-10-24 15:25:04,,,A
"ST 2978, ST-2978",Glen Campbell,That Christmas Feeling,"Capitol Records, Capitol Records","LP, Album, RE, Win",,1971,3523210,Record Collection #111,2026-01-28 21:23:33,5,,A
"SW 990, SW-990",Meredith Willson,Meredith Wilson's The Music Man - Original Cast,"Capitol Records, Capitol Records","LP, Album, RE, Scr",,1962,5517654,Record Collection #106,2025-10-24 15:02:07,,,
"T 2482, T-2482",Charlie Louvin,Lonesome Is Me,"Capitol Records, Capitol Records","LP, Album, Mono",,1966,19517023,Record Collection #113,2026-02-02 18:54:31,,,
"T768, T-768",Frank Sinatra,This Is Sinatra!,"Capitol Records, Capitol Records","LP, Comp, Mono, RE, Gol",,1962,10779354,Record Collection #114,2026-03-02 20:38:57,5,,A
"SMAS 2653, SMAS-2653, 2653",The Beatles,Sgt. Pepper's Lonely Hearts Club Band,"Capitol Records, Capitol Records, Capitol Records","LP, Album, Scr",,1967,8470688,Record Collection #117,2026-04-02 13:57:24,10,,A
SW-11516,Glen Campbell,Bloodline,"Capitol Records, Haven Records","LP, Album, Jac",,1976,15497458,Record Collection #111,2026-01-23 13:41:35,,,A
B001995301,Sam Smith (12),In The Lonely Hour,"Capitol Records, Method Records (4)","LP, Album",,2014,6641013,Record Collection #117,2026-04-02 15:34:54,10,,A
CP 0123,Dickey Betts,Highway Call,Capricorn Records,"LP, Album",,1974,6067657,Record Collection #114,2026-02-23 07:01:14,7,,A
CP 0125,Maxayn,Bail Out For Fun!,Capricorn Records,"LP, Album, Promo",,1974,5878550,Record Collection #114,2026-03-17 07:30:10,,,
CPK 0180,The Marshall Tucker Band,Carolina Dreams,Capricorn Records,"LP, Album, Jac",,1977,8053706,Record Collection #103,2025-08-29 08:48:14,,,
NBLP 7144,Village People,Go West,Casablanca,"LP, Album, 60/",,1979,3224757,Record Collection #106,2025-10-31 19:44:14,,,
NBLP 7239,Mac Davis,Texas In My Rear View Mirror,Casablanca,"LP, Album, PRC",,1980,2758715,Record Collection #98,2026-04-01 22:18:54,,,
"422-811 492-1 M1, 811492-1 M-1",Various,Flashdance (Original Soundtrack From The Motion Picture),"Casablanca, Casablanca","LP, Album, 53 ",,1983,2550803,Record Collection #105,2025-09-26 10:01:50,,,
"NBLP 7119-2, NBLP 7119",Donna Summer,Live And More,"Casablanca, Casablanca","2xLP, Album, Ter",,1978,16110207,Record Collection #106,2025-10-24 14:43:26,,,
"NBLP 7119-2, NBLP 7119",Donna Summer,Live And More,"Casablanca, Casablanca","2xLP, Album, Spe",,1978,833817,Record Collection #106,2025-10-27 19:23:20,,,
CYS 1372,Norman Ponce,Norman Ponce,Caytronics,"LP, Album",,1973,13142972,Record Collection #111,2026-01-25 10:34:06,10,,A
P14823,"Andy Williams, The Voices Of Christmas",Christmas With Andy Williams / Christmas With The Voices Of Christmas,CBS,"LP, Album, Comp",,1978,7744281,Record Collection #111,2026-01-23 13:16:28,,,
M 35873,Various,Kramer Vs. Kramer (Soundtrack),CBS Masterworks,"LP, Comp, Ter",,1980,12681486,Record Collection #103,2025-08-29 11:23:37,,,
