Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Sold Price,Collection Notes
"LSP-1993, LSP 1993",Chet Atkins,Chet Atkins In Hollywood,"RCA Victor, RCA Victor","LP, Album, Ind",,1959,2159081,Record Collection #98,2026-04-01 22:28:42,,,A
"LSP-2783, LSP 2783",Chet Atkins,Guitar Country,"RCA Victor, RCA Victor","LP, Hol",,1964,3929288,Record Collection #106,2025-10-17 18:42:21,,,
88985-35504-1,Colony House,Only The Lonely,"RCA, Descendant Records","LP, Album, Gol",,2017,9660576,Record Collection #117,2026-04-02 15:50:45,50,,A
19439824841,Old Dominion (3),Meat And Candy,"RCA, Legacy","LP, Album, Ltd, RE, Whi",,2021,17053704,Record Collection #117,2026-04-02 14:16:00,20,,A
AHL1-3915,Dave And Sugar,Greatest Hits,"RCA, RCA Victor","LP, Comp",,1981,3464908,Record Collection #111,2026-01-23 14:12:46,,,A
AHL1-5452,Floyd Cramer,Collector's Series,"RCA, RCA Victor","LP, Comp",,1985,10840072,Record Collection #97,2025-06-24 14:22:39,,,A
"RDA-175, RDA-175/D",Bing Crosby,Christmas With Bing,"Reader's Digest, RCA Custom","LP, Comp",,1980,2677515,Record Collection #109,2026-01-19 08:01:52,,,
231548-1,Josh Groban,Noël,Reprise Records,"2xLP, Album, Etch",,2015,7837479,Record Collection #117,2026-04-02 15:39:23,20,,A
MS 2235,Maria Muldaur,Sweet Harmony,Reprise Records,"LP, Album, Pit",,1976,14093538,Record Collection #105,2025-09-22 08:21:23,,,
MS 2253,The Stills-Young Band,Long May You Run,Reprise Records,"LP, Album, Ter",,1976,1993747,Record Collection #111,2026-02-06 13:22:58,,,
"R-20,096",Jim Mitchum,Toast Of The Teardrop / Tears Of Love,Reprise Records,"7"", Promo",,1962,15899981,Record Collection #105,2025-10-03 13:34:30,,,
528350-1,Michael Bublé,Christmas,"Reprise Records, 143 Records","LP, Album, Ltd, RE, Red",,2014,6225887,Record Collection #117,2026-04-02 15:47:41,20,,A
"6273, RS 6273",Nancy Sinatra & Lee Hazlewood,Nancy & Lee,"Reprise Records, Reprise Records","LP, Album",,1968,8559396,Record Collection #117,2026-04-02 14:45:44,10,,A
"RS-6165, RS 6165",Trini Lopez,The Love Album,"Reprise Records, Reprise Records","LP, Album",,1964,2778590,Record Collection #96,2026-04-01 22:06:04,,,A
"RS-6228, 6228, RS 6228",The Kinks,Face To Face,"Reprise Records, Reprise Records, Reprise Records","LP, Album, Pit",,1966,2944169,Record Collection #117,2026-04-02 14:18:36,20,,A
RR182,The New American Guitar Ensemble : Lewis Ross (2),A Collection Of Favourite Christmas Carols,Revere Records (2),"LP, Album",,1983,2882440,Record Collection #105,2025-09-26 13:13:18,,,
"RVL 7501, RVL-7501",John Cougar Mellencamp,American Fool,"Riva (2), Riva (2)","LP, Album, 26-",,1982,4317627,Record Collection #117,2026-04-02 13:47:19,5,,A
RMR 8301,Ron Williams,I'll Never Be The Same ,RMR Productions Inc.,"LP, Album",,1983,7765989,Record Collection #109,2026-01-19 07:57:23,15,,A
R-2180,Various,Ronco Presents Disco Fever,Ronco,"LP, Comp",,1978,1769596,Record Collection #106,2025-10-24 15:19:47,,,
"SR 42044, SR-42044",Tommy James & The Shondells,Travelin',"Roulette, Roulette","LP, Album, Gat",,1970,2248261,Record Collection #106,2025-10-24 14:38:18,,,
RS-1-3039,Eric Clapton,Backless,RSO,"LP, Album, San",,1978,10289349,Record Collection #111,2026-01-23 12:54:03,,,
RS-1-3040,Various,Moment By Moment Original Movie Soundtrack,RSO,"LP, Album, Promo",,1979,3257711,Record Collection #111,2026-01-30 07:41:42,,,
RS-1-3041,Bee Gees,Spirits Having Flown,RSO,"LP, Album, PRC",,1979,12298533,Record Collection #117,2026-04-02 14:31:08,5,,A
"RS-1-3018, 2394 182",Yvonne Elliman,Love Me,"RSO, RSO","LP, Album, Pit",,1977,1762251,Record Collection #111,2026-01-30 08:28:48,,,A
SA 5525,Claudja Barry,Claudja,Salsoul Records,"LP, Album",,1978,539797,Record Collection #106,2025-10-24 14:55:17,,,A
SC1-50 LP,Darwin Jones (5),Darwin Jones,Salt City Records,"LP, Album",,1974,21019372,Record Collection #96,2025-06-16 10:22:02,,,
S.H.2030,Various,Al Jolson On The Silver Screen ,Sandy Hook Records,"LP, Album",,1980,14168802,Record Collection #111,2026-01-28 21:56:12,,,A
P2S 5140,Dionne Warwick,Dionne!,Scepter Records,"2xLP, Comp, Club, Col",,1967,2047070,Record Collection #111,2026-01-23 18:08:14,,,A
SPS 5108,B.J. Thomas,Country,Scepter Records,"LP, Comp",,1972,3814326,Record Collection #106,2025-10-27 19:35:55,,,A
SPS 5108,B.J. Thomas,Country,Scepter Records,"LP, Comp",,1972,3814326,Record Collection #111,2026-01-23 17:49:27,,,A
"SPS 2-596, SPS-2-596",Dionne Warwick,The Dionne Warwicke Story (A Decade Of Gold),"Scepter Records, Scepter Records","2xLP, Album, Tex",,1971,9753473,Record Collection #111,2026-01-28 21:58:18,,,
"SPS 5118, SPS-5118",Eddie Kochak,Strictly Belly Dancing Volume 2,"Scepter Records, Scepter Records","LP, Album, She",,1975,22906337,Record Collection #93,2025-05-20 11:36:21,,,A
SCP019800,Richard Pugh,Turn Me Around,SCP Records,LP,,1981,22757276,Record Collection #89,2025-05-11 16:11:37,10,,A
LP 22003,Tret Fure,Terminal Hold,Second Wave Records,"LP, Album",,1984,3717965,Record Collection #105,2025-09-22 07:25:05,,,A
LP22001,"Teresa Trull, Barbara Higbie",Unexpected,Second Wave Records,LP,,1983,3079016,Record Collection #105,2025-09-26 10:25:18,,,A
"LP-101, SIERRA-LP-101",Jay Gardner (2) And  The Wranglers (3),Some Favorites Of Mine,"Sierra Records (10), Sierra Records (10)","LP, Album",,1964,14029365,Record Collection #114,2026-03-02 19:12:40,10,,A
SK-15,Lena Horne & Gabor Szabo,Lena & Gabor,Skye Records,"LP, Album",,1970,1146653,Record Collection #96,2025-06-16 18:26:12,5,,A
SF-23000,The Mustang (2),The Beatles Song Book,Somerset,"LP, Album",,1965,8159863,Record Collection #109,2026-01-19 10:02:17,,,
BVL1-2270,The Whispers,Open Up Your Love,Soul Train,"LP, Album",,1977,1501219,Record Collection #102,2025-08-11 13:17:56,,,
S-3017,Dave & Dana,Come On In,Sound III,"LP, Album",,1977,13090418,Record Collection #111,2026-01-23 12:43:34,,,
DE-78,Deanna Edwards,"Music, Laughter & Tears",Sounds Of Hope,"LP, Gat",,1978,11442939,Record Collection #96,2026-04-01 21:29:20,,,A
M 129,Slim Boyd,Hits Made Famous By Hank Williams,Spin-O-Rama,"LP, Album, Mono",,0,8174819,Record Collection #106,2025-10-24 15:05:43,,,
SPB-4032,Dionne Warwick,More Greatest Hits,Springboard,"LP, Comp",,1977,3792398,Record Collection #111,2026-01-23 18:29:18,,,A
"SPB-4047, SPB 4047",Ferrante & Teicher,The Soft Touch,"Springboard, Springboard","LP, Comp, RE",,1973,20521879,Record Collection #111,2026-01-30 08:20:31,,,A
SSR 8100,Don Francisco (2),High Praise,Star Song,"LP, Album",,1988,10742420,Record Collection #111,2026-01-25 15:20:37,5,,A
SP1127,Daughn Gibson,Carnation,Sub Pop,"LP, Album",,2015,7079177,Record Collection #95,2025-06-02 09:59:14,7,,A
SUN 1001,Elvis Presley,Interviews And Memories Of:  The Sun Years,Sun (9),"LP, Album, P/Mixed",,1977,13212216,Record Collection #111,2026-01-23 12:57:45,,,
SUS-5132,Bud Shank,I Hear Music,Sunset Records,"LP, Comp",,1966,3449133,Record Collection #113,2026-02-01 12:09:27,,,A
SS&R-1003,Sunshade 'N Rain,Naturally,Sunshade 'n Rain Enterprises,"LP, Album",,1975,10029389,Record Collection #111,2026-01-23 17:55:21,5,,A
SS 8504,Detective,It Takes One To Know One,Swan Song,"LP, Album, RI",,1977,2072251,Record Collection #91,2025-05-14 08:38:26,,,A
MS-002,Mike Snider (3),Live at the Station Inn,Tater Town Records,"LP, Album",,1986,7752144,Record Collection #107,2025-12-19 11:55:04,7,,A
NB1-33232,Richard 'Dimples' Fields,Dimples,The Boardwalk Entertainment Co,"LP, Album",,1981,460916,Record Collection #89,2025-05-07 07:15:42,,,A
D-3,"Cris Williamson, Jackie Robbins (2), June Millington",Live Dream,"The Dream Machine (3), Olivia Records (2)",LP,,1978,2688451,Record Collection #105,2025-09-22 19:36:58,,,A
MAC 2007,The Brothers Cazimero,The Sound Of The Sea Surrounds Me,The Mountain Apple Company,"LP, Album",,1985,4371711,Record Collection #117,2026-04-02 14:42:36,5,,A
THS 7,The Moody Blues,Seventh Sojourn,Threshold (5),"LP, Album, W -",,1972,1875478,Record Collection #116,2026-03-14 08:30:34,,,A
THS-11,Trapeze Featuring Glenn Hughes,The Final Swing,Threshold (5),"LP, Comp",,1974,8681858,Record Collection #93,2025-05-20 09:13:02,,,
THRILL 281,Catherine Irwin,Little Heater,Thrill Jockey,"LP, Album",,2012,3902232,Uncategorized,2025-06-02 10:03:26,,,
"S/2107, 2107",Hargus Robbins,A Bit Of Country Piano,"Time Records (3), Time Records (3)","LP, Album",,1963,11526206,Record Collection #98,2025-07-08 12:02:00,,,A
GFB 7408,Dorothy Matar,Golden Bells,Tom Britton & Associates,LP,,1972,9421550,Record Collection #97,2025-06-27 08:27:18,7,,A
TRC 910,No Artist,Miscellaneous,Total Recording,LP,,0,6472859,Record Collection #93,2025-05-20 14:30:55,,,
DT 5060,Laurindo Almeida,Acapulco '22,Tower,"LP, Album",,1967,403980,Record Collection #98,2025-07-07 20:16:37,,,
TS-106,Leonard Kwan,Slack Key,Tradewinds Records,"LP, Album",,0,25993015,Record Collection #117,2026-04-02 14:33:55,10,,A
"2077, TR 2077",Various,Anthology Of The Banjo,"Tradition Everest, Tradition Everest","LP, Comp",,0,2332937,Record Collection #96,2026-04-01 21:59:47,,,
310 114,Michel Sardou,Les Lacs Du Connemara,Trema,"LP, Album, Gat",,1981,1378347,Record Collection #91,2025-05-13 21:28:50,,,
19075818041,Scotty McCreery,Seasons Change,Triple Tigers Records,"LP, Album",,2018,11747091,Record Collection #117,2026-04-02 15:54:18,60,,A
LS 61023,Chucho Avellanet,Entre Los Dos,UA Latino,"LP, Album",,1968,12296615,Record Collection #111,2026-01-25 10:30:34,,,A
73084,Neil Diamond,Gold,UNI Records,"LP, Album, Glo",,1970,13878804,Record Collection #111,2026-01-23 15:05:08,,,
73092,Neil Diamond,Tap Root Manuscript,UNI Records,"LP, Album, Pin",,1970,1358992,Record Collection #111,2026-01-23 13:11:46,,,
UA-LA 754G,Kenny Rogers,Daytime Friends,United Artists Records,"LP, Album, Club",,1977,11516129,Record Collection #106,2025-10-24 14:44:12,,,
UA-LA677-G,Brass Construction,Brass Construction II,United Artists Records,"LP, Album",,1976,799799,Record Collection #89,2025-05-07 07:38:26,,,A
UA-LA771-G,Crystal Gayle,We Must Believe In Magic,United Artists Records,"LP, Album, All",,1977,2542154,Record Collection #98,2026-04-01 22:18:05,,,A
UA-LA787-G,Slim Whitman,Home On The Range,United Artists Records,"LP, Album",,1978,4020308,Record Collection #111,2026-01-28 21:31:52,,,A
UA-LA857-H,The Tim Weisberg Band,Rotations,United Artists Records,"LP, Album",,1978,1323550,Record Collection #98,2025-07-07 21:04:50,,,A
UA-LA858-H,Crystal Gayle,When I Dream,United Artists Records,"LP, Album, Ter",,1978,9794275,Record Collection #111,2026-01-23 18:43:34,,,A
UA-LA881-H,Ronnie Laws,Flame,United Artists Records,"LP, Album, Ter",,1978,1183587,Record Collection #116,2026-03-14 08:51:34,5,,A
UA-LA916-H,Brass Construction,Brass Construction IV,United Artists Records,"LP, Album, Ter",,1978,13563950,Record Collection #89,2025-05-07 08:23:22,,,
UAS 5504,Traffic,John Barleycorn Must Die,United Artists Records,"LP, Album, Res",,1970,945992,Record Collection #111,2026-01-23 15:39:41,,,
UAS 6269,Ferrante & Teicher,Golden Piano Hits,United Artists Records,"LP, Album",,1963,17075058,Record Collection #111,2026-01-23 14:32:32,,,A
UAS 6483,Ferrante & Teicher,For Lovers Of All Ages,United Artists Records,"LP, Album",,1966,21971329,Record Collection #111,2026-01-25 09:48:22,,,A
UAS-5581,Vikki Carr,The Best Of Vikki Carr,United Artists Records,"LP, Comp",,1972,2907888,Record Collection #111,2026-01-23 19:24:22,,,A
UAS-9962,Bob Wills & Tommy Duncan,Hall Of Fame,United Artists Records,"2xLP, Comp, Ter",,1972,13113710,Record Collection #111,2026-01-23 14:30:11,7,,A
"B0034554-01LP01, B0033659-05LP01, B0044622-03LP01",J. Balvin,JOSE,"Universal Music, Sueños Globales, LLC, Reprise Records","LP, Blu + LP, Pur + Album, Ltd",,2021,21074200,Record Collection #105,2025-09-24 07:00:54,,,
VSD-2097,Joan Baez,Joan Baez Vol. 2,Vanguard,"LP, Album",,1961,7428438,Record Collection #117,2026-04-02 14:12:43,3,,A
VSD-2123,Joan Baez,Joan Baez In Concert Part 2 ,Vanguard,"LP, Album, RE",,0,5686497,Record Collection #117,2026-04-02 14:10:02,3,,A
VSD-6570/1,Joan Baez,Blessed Are...,Vanguard,"2xLP + 7"" + Album",,1971,14852838,Record Collection #111,2026-01-25 18:34:40,5,,A
VSD-79347,The Roto Rooter Good Time Christmas Band,The Roto Rooter Good Time Christmas Band,Vanguard,"LP, Album",,1974,2876597,Record Collection #113,2026-02-02 18:56:14,,,
V-8691,Kai Winding,Penny Lane & Time,Verve Records,"LP, Album, Gat",,0,15708896,Record Collection #113,2026-02-02 18:28:09,,,
V6-5031,The Righteous Brothers,Souled Out,Verve Records,"LP, Album, MGM",,1967,2293701,Record Collection #97,2025-06-24 11:36:02,,,A
V6-8676,Walter Wanderley Trio,Cheganca,Verve Records,"LP, Album, Gat",,1967,399542,Record Collection #113,2026-02-02 18:49:56,,,
V6-8786,Gary McFarland,Sympathetic Vibrations,Verve Records,"LP, Album, RE, MGM",,1969,2873882,Record Collection #113,2026-02-02 18:24:44,,,
"V-8652, V/8652",Jimmy Smith,Peter & The Wolf,"Verve Records, Verve Records","LP, Album, Mono, Gat",,1966,2894486,Record Collection #105,2025-09-26 15:16:55,5,,A
"V6-8785, V6/8785",Lalo Schifrin,Insensatez,"Verve Records, Verve Records","LP, Album, RE",,1968,1253397,Record Collection #107,2025-12-19 12:19:30,10,,A
0-96668,Johnny Hates Jazz,Shattered Dreams,Virgin,"12"", Single, All",,1988,16150381,Record Collection #105,2025-09-22 21:07:58,5,,A
VR 13-105,Mike Oldfield,Tubular Bells,Virgin,"LP, Album, RI ",,1973,3020834,Record Collection #114,2026-03-03 08:28:37,,,
VL 73860,Earl Grant,Send For Me,Vocalion (2),"LP, Album, Glo",,1969,19682464,Record Collection #106,2025-10-24 14:52:58,,,A
"VL-73925, VL 73925",Loretta Lynn,Alone With You,"Vocalion (2), Vocalion (2)","LP, Comp, Pin",,1972,7046434,Record Collection #111,2026-01-25 09:32:57,,,A
VPRL1809,Richie Spice,Gideon Boot,VP Records,"LP, Album",,2008,2661743,Record Collection #97,2025-06-24 14:05:40,,,
WDS 657,The Kingsmen,The Kingsmen In Person,Wand,"LP, Album",,1964,7088180,Record Collection #91,2025-05-13 20:24:02,,,
WS 1765,Petula Clark,"Petula Clark's Greatest Hits, Vol. 1",Warner Bros. - Seven Arts Records,"LP, Comp, San",,1968,1333850,Record Collection #111,2026-01-25 18:25:21,,,
"1729, WS 1729",Mason Williams,The Mason Williams Phonograph Record,"Warner Bros. - Seven Arts Records, Warner Bros. - Seven Arts Records","LP, Album, San",,1968,13046387,Record Collection #105,2025-09-26 09:06:58,,,A
"WS 1767, 1767",The Association (2),Greatest Hits!,"Warner Bros. - Seven Arts Records, Warner Bros. - Seven Arts Records","LP, Comp",,1968,1317710,Record Collection #111,2026-01-30 07:43:37,,,
"WS 1800, 1800",The Association (2),The Association,"Warner Bros. - Seven Arts Records, Warner Bros. - Seven Arts Records","LP, Album, Ter",,1969,8903050,Record Collection #93,2025-05-20 11:59:48,,,
1-23754,David Frizzell & Shelly West,Our Best To You,Warner Bros. Records,"LP, Album",,1982,2920921,Record Collection #111,2026-01-25 09:31:11,,,A
BS 2629,Seals & Crofts,Summer Breeze,Warner Bros. Records,"LP, Album, Ter",,1972,11821486,Record Collection #106,2025-10-24 14:42:40,,,
BS 2864,Bonnie Raitt,Home Plate,Warner Bros. Records,"LP, Album, RE, Win",,1979,9023363,Record Collection #97,2025-06-24 13:11:49,,,
BS 2868,Gary Wright,The Dream Weaver,Warner Bros. Records,"LP, Album, Los",,1976,4923686,Record Collection #111,2026-01-25 10:05:52,,,A
BS 2968,Stuff (2),Stuff,Warner Bros. Records,"LP, Album, Los",,1976,13154186,Record Collection #114,2026-03-26 07:35:47,7,,A
BSK 3089,Leo Sayer,Thunder In My Heart,Warner Bros. Records,"LP, Album, Gol",,1977,1658389,Individual Find,2025-07-31 08:06:54,,,A
BSK 3089,Leo Sayer,Thunder In My Heart,Warner Bros. Records,"LP, Album, Jac",,1977,12218503,Record Collection #111,2026-01-30 08:09:23,,,A
BSK 3101,Leo Sayer,Endless Flight,Warner Bros. Records,"LP, Album, RE, Gol",,1977,11043426,Record Collection #111,2026-01-30 08:10:50,,,
BSK 3289,Couchois,Couchois,Warner Bros. Records,"LP, Album, Win",,1979,2847760,Record Collection #115,2026-03-10 07:26:57,,,
BSK 3296,Rickie Lee Jones,Rickie Lee Jones,Warner Bros. Records,"LP, Album, Qua",,1979,8962324,Record Collection #105,2025-09-24 07:14:36,,,
BSK 3365,Seals & Crofts,The Longest Road,Warner Bros. Records,"LP, Album, Win",,1980,18551206,Record Collection #105,2025-09-24 08:38:58,,,A
BSK 3383,Christopher Cross,Christopher Cross,Warner Bros. Records,"LP, Album, Los",,1979,10489332,Record Collection #105,2025-09-22 07:20:24,,,
BSK 3385,Chaka Khan,Naughty,Warner Bros. Records,"LP, Album, Los",,1980,12749042,Record Collection #102,2025-08-11 14:26:28,,,
BSK 3484,Emmylou Harris,Light Of The Stable-The Christmas Album,Warner Bros. Records,"LP, Album, Win",,1980,12352025,Record Collection #106,2025-10-24 14:57:39,5,,A
BSK 3576,Al Jarreau,Breakin' Away,Warner Bros. Records,"LP, Album, Club",,1981,11885017,Record Collection #89,2025-05-06 07:58:54,,,A
I-23757,Christopher Cross,Another Page,Warner Bros. Records,"LP, Album",,1983,10695638,Record Collection #106,2025-10-24 15:11:49,,,A
KBS 3101,Leo Sayer,Endless Flight,Warner Bros. Records,"LP, Album",,1976,1747304,Individual Find,2025-07-31 08:06:41,,,
WS 1615,"Peter, Paul & Mary",See What Tomorrow Brings,Warner Bros. Records,"LP, Album, Gol",,1965,2359732,Record Collection #105,2025-09-26 06:45:19,,,
BS 2877,Manfred Mann's Earth Band,Nightingales & Bombers,"Warner Bros. Records, Bronze","LP, Album, San",,1975,9067947,Record Collection #93,2025-05-20 08:16:03,,,A
BSK 3262,Stuff (2),Stuff It!,"Warner Bros. Records, Just Sunshine Records","LP, Album, Jac",,1979,11092771,Record Collection #114,2026-03-26 07:36:50,,,A
"1-25116, 9 25116-1",Randy Newman,The Natural,"Warner Bros. Records, Warner Bros. Records","LP, Album, All",,1984,2898649,Record Collection #97,2025-06-24 13:20:46,5,,A
"1-25296, 9-25296-1",China Crisis,Flaunt The Imperfection,"Warner Bros. Records, Warner Bros. Records, Virgin, Virgin","LP, Album, Spe",,1985,13874703,Record Collection #98,2025-07-08 17:17:34,,,
WWS 7115,The Turtles,Turtles' Golden Hits,White Whale,"LP, Comp",,1967,6433447,Individual Find,2025-10-06 11:16:51,,,
WH-1009,Alex De Grassi,Slow Circle,Windham Hill Records,"LP, Album, RE, Ele",,0,2550207,Record Collection #105,2025-09-22 08:34:28,,,A
WH-1024,Various,Windham Hill Records Sampler '82,Windham Hill Records,"LP, Smplr",,1982,6608556,Record Collection #105,2025-09-26 09:33:36,,,
WH-1026,Various,An Evening With Windham Hill Live,Windham Hill Records,"LP, Album",,1983,290977,Record Collection #98,2025-07-07 22:22:04,,,
WH-1039,"Charles Gross Featuring Windham Hill Artists George Winston, Darol Anger, Mark Isham, Mike Marshall (2)",Country (An Original Soundtrack Album),Windham Hill Records,"LP, Album, EMW",,1984,1653567,Record Collection #98,2025-07-08 09:10:05,,,A
WHS C-1003,William Ackerman,It Takes A Year,Windham Hill Records,"LP, Album",,1977,1090933,Record Collection #98,2025-07-07 20:12:12,,,
WHS C-1004,Alex De Grassi,Turning: Turning Back,Windham Hill Records,"LP, Album, RM, RP, RTI",,1978,3495043,Record Collection #105,2025-09-22 08:47:20,,,
WHSD-C 1014,William Ackerman,Passage,Windham Hill Records,"LP, Album",,1981,2633045,Record Collection #105,2025-09-26 09:37:57,,,
WST-8490-LP,Dr. Charles S. Kendall,Morning Chimes,Word,"LP, Album",,1970,5356478,Record Collection #97,2025-06-24 11:06:50,,,A
WST-8714,Evie (2),Gentle Moments,Word,LP,,1976,3195892,Record Collection #111,2026-01-23 14:34:01,,,A
WST-8770,Evie (2),"Come On, Ring Those Bells",Word,"LP, Album, Lar",,1977,17289814,Record Collection #111,2026-01-25 15:15:07,,,A
"WSB-8769, WSB 8769",Evie (2),A Little Song Of Joy For My Little Friends,"Word, Word","LP, Album",,1978,1451769,Record Collection #111,2026-01-23 15:02:57,,,A
W 9163,The Dawnbusters (2),The Big Country,Wyncote,"LP, Album, Mono",,1967,6980612,Record Collection #106,2025-10-24 15:15:16,,,A
Xanadu 112,Various,Harlem Odyssey,Xanadu Records,"LP, Comp, Mono",,1975,10723300,Record Collection #100,2025-07-28 09:04:28,,,
ZTIS 100,The Art Of Noise,Into Battle With The Art Of Noise,ZTT,"12"", EP",,1983,33485,Record Collection #98,2025-07-09 09:42:34,,,
ZTIS 108,The Art Of Noise,Beat Box,ZTT,"12"", Single, Pic",,1984,7261805,Record Collection #98,2025-07-09 09:47:43,,,
